epoch,step,test/acc_epoch,test/acc_step,test/loss_epoch,test/loss_step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc_epoch,val/acc_step,val/loss_epoch,val/loss_step
0,4,,,,,,0.25,,2.2610487937927246,,,,
0,9,,,,,,0.65625,,2.080507516860962,,,,
0,14,,,,,,0.71875,,1.9594472646713257,,,,
,0,,,,,,,,,,0.9375,,1.7601220607757568
,1,,,,,,,,,,0.8125,,1.9437665939331055
,2,,,,,,,,,,0.875,,1.8412654399871826
,3,,,,,,,,,,0.90625,,1.8557344675064087
,4,,,,,,,,,,1.0,,1.7055549621582031
0,18,,,,,,,,,0.8920863270759583,,1.8387736082077026,
0,18,,,,,0.48739495873451233,,2.1009602546691895,,,,,
,0,,0.9375,,1.8699184656143188,,,,,,,,
,1,,0.90625,,1.822622299194336,,,,,,,,
,2,,0.8125,,1.8087196350097656,,,,,,,,
,3,,0.90625,,1.8424538373947144,,,,,,,,
,4,,0.875,,1.8033446073532104,,,,,,,,
,5,,0.6666666865348816,,1.9649826288223267,,,,,,,,
1,19,0.8795180916786194,,1.834311842918396,,,,,,,,,
